FeatureID,importance_mean,importance_sd,frac_folds_positive,t,p,FDR,mean_clr_Pos,mean_clr_Neg,direction,cage_F,cage_p,cage_FDR,Genus,Family,cage_confounded
DQ794058.1.1402,-8.8183421516753e-05,0.01313607430995321,0.26666666666666666,-4.442105998225131,7.061297973310783e-05,0.0008756009486905371,1.4849069628369729,3.033485010985394,Pos↓,0.9854864571196701,0.4137830458351397,0.5130909768355733,Anaerostipes,Lachnospiraceae,False
EU775649.1.1224,-8.818342151675533e-05,0.00415792079700287,0.13333333333333333,4.058675539524391,0.0002112315970010304,0.001658592557301366,-0.3592487653292308,-2.1945255999790705,Pos↑,2.2299769623571484,0.10672822700785212,0.17992314809106275,Terrisporobacter,Peptostreptococcaceae,False
EF025214.1.1451,-0.0001234567901234556,0.00046193301071283284,0.06666666666666667,-1.4829869069137627,0.15081940601033134,0.29221259914501696,0.9896813321069013,1.6184879619371877,Pos↓,0.18277636937157396,0.9071994799200785,0.9374394625840813,Agathobaculum,Butyricicoccaceae,False
EF025230.1.1453,-0.00017636684303350952,0.002266845716128344,0.06666666666666667,0.8255045845310713,0.41726669514675113,0.5431491477101991,-1.7330093638795911,-1.9409996872095063,Pos↑,8.308068966864036,0.0004148392574197124,0.005144006792004434,Intestinimonas,Oscillospiraceae,True
5d2356d8798c11abda797ab361d25f33,-0.0005643738977072224,0.016730754045975856,0.13333333333333333,1.7991562147342148,0.08606240373162921,0.19056675112003613,-0.707412954506053,-1.5205096140137928,Pos↑,4.554727530721301,0.010127294633846524,0.04185948448656564,Lactobacillus,Lactobacillaceae,True
HQ452859.1.1430,-0.0007054673721340379,0.0033290847573302293,0.06666666666666667,-0.7085482358936599,0.48334892551749953,0.5876006545506857,0.3868100986219895,0.6324486313259106,Pos↓,3.4541955595123257,0.029724727041880568,0.07674381157782706,,Erysipelotrichaceae,False
KP966092.1.1345,-0.0007583774250440894,0.003775898369407159,0.06666666666666667,-1.685231593853862,0.10005936642348381,0.20233968316115714,1.343157498453111,1.7414203458689423,Pos↓,1.9875486477765167,0.138689127071298,0.2149681469605119,Sellimonas,Lachnospiraceae,False
KU363872.1.1413,-0.0007760141093474462,0.016751823731136595,0.13333333333333333,-1.1984351835984643,0.2458923010372652,0.4079781326642614,-1.3824173766805312,-0.8902415142670469,Pos↓,4.6676535940677155,0.009103497731604633,0.04031548995424909,Macrococcus,Staphylococcaceae,True
FJ981654.1.1204,-0.0008289241622574902,0.01856830462243347,0.2,0.9689171918027174,0.3433766039125421,0.5322337360644402,-0.5495362523420716,-0.9505468236892244,Pos↑,1.5994273268097459,0.21178296366217197,0.2984214487966969,Staphylococcus,Staphylococcaceae,False
GQ175371.1.1438,-0.0008465608465608464,0.002177684193360494,0.0,-1.2031670385561928,0.24473369959767394,0.4079781326642614,-0.9537881388548447,-0.299498736098212,Pos↓,2.399751223204886,0.08897373416725902,0.15761061481057312,,Oscillospiraceae,False
f980a909308141ab17d7502f6c96d0ed,-0.0010229276895943552,0.0032456291341580157,0.0,1.411260951428978,0.1737417515763647,0.3243843030824669,-0.8455713656146047,-1.3294768244278252,Pos↑,0.12273250897506861,0.9459180225285241,0.9459180225285241,Monoglobus,Monoglobaceae,False
KX225280.1.1202,-0.0011992945326278661,0.005157818095710367,0.06666666666666667,2.8770432533946395,0.006990503425951607,0.02407840068938887,-1.149856010806989,-2.1438143977572044,Pos↑,3.8281114392430506,0.020456782038666382,0.06341602431986579,,Comamonadaceae,False
