FeatureID,importance_mean,importance_sd,frac_folds_positive
HQ806146.1.1448,0.00014109347442680965,0.010265489632586382,0.2
DQ794058.1.1402,-8.8183421516753e-05,0.01313607430995321,0.26666666666666666
3e438fc0df6bc45da9e7806ef1932a1f,0.0,0.0,0.0
DQ794427.1.1242,-0.002557319223985888,0.008752132394781767,0.13333333333333333
FJ367509.1.1357,-0.004303350970017635,0.014241707208947985,0.0
GQ175371.1.1438,-0.0008465608465608464,0.002177684193360494,0.0
f980a909308141ab17d7502f6c96d0ed,-0.0010229276895943552,0.0032456291341580157,0.0
GQ175397.1.1443,-0.003985890652557316,0.00946013727771047,0.0
EF025230.1.1453,-0.00017636684303350952,0.002266845716128344,0.06666666666666667
EU763235.1.1354,0.0036155202821869497,0.009714275467840637,0.2
DQ456166.1.1450,0.0008112874779541442,0.008606882641870933,0.13333333333333333
EU767235.1.1359,0.010652557319223982,0.029124964354915028,0.3333333333333333
fbb2ccdf9eee6835b98ab9fad97f117a,0.0018871252204585576,0.015504802284996634,0.2
DQ799850.1.1386,0.0,0.0,0.0
6a4f354262a6fbad12de693585b4e7f1,-0.0020811287477954096,0.007421796723550179,0.06666666666666667
DQ808123.1.1242,-0.0015520282186948847,0.009464279295154908,0.06666666666666667
EU451487.1.1331,-0.003104056437389771,0.0127125386842259,0.06666666666666667
FJVJ01000015.3438.4940,-0.004814814814814811,0.012646941539973222,0.0
1978fc46fbfd9b795e153be14136a976,-0.002045855379188714,0.015517015048136453,0.06666666666666667
5d2356d8798c11abda797ab361d25f33,-0.0005643738977072224,0.016730754045975856,0.13333333333333333
FJ981654.1.1204,-0.0008289241622574902,0.01856830462243347,0.2
KU363872.1.1413,-0.0007760141093474462,0.016751823731136595,0.13333333333333333
KP966092.1.1345,-0.0007583774250440894,0.003775898369407159,0.06666666666666667
DQ057374.1.1386,0.000952380952380956,0.0256848744205318,0.3333333333333333
EU530381.1.1295,0.0026807760141093514,0.012150843537458857,0.06666666666666667
6a90057b6e7a186c4d4e8974cd089f3f,-0.002063492063492063,0.007720880321914479,0.0
EF025267.1.1453,-0.0041093474426807716,0.010098692125320913,0.0
a9f73cd1c850d7f999159ba5feabd9d6,0.0,0.0,0.0
955067ff3611dcc13ed433849d69870d,0.0,0.0,0.0
7d3638a814df8118a71376d31f66bb19,0.0,0.0,0.0
288a1734edef6ecef620fe0821878619,0.0,0.0,0.0
4c70e0645fdca9420418aec1bd7f0627,0.0,0.0,0.0
KP896654.1.1291,0.0,0.0,0.0
JQ207409.1.1329,0.0,0.0,0.0
HQ772504.1.1405,0.0,0.0,0.0
be8b0bae43af1dafd779699064f27bec,0.0,0.0,0.0
20003ad708c4341bfb9325715e8a3a6e,0.0,0.0,0.0
cc71afec2b00c234459733299a21d5f5,0.0,0.0,0.0
EU774989.1.1390,0.0,0.0,0.0
cb3f260d74cc20477ad7bf268894361e,0.0,0.0,0.0
FJ545463.1.1526,0.0,0.0,0.0
GU179520.1.1380,0.0,0.0,0.0
KT828543.1.1200,0.0,0.0,0.0
JN594631.1.1392,0.0,0.0,0.0
GU066861.1.1272,0.0,0.0,0.0
