SampleID	HostGroup	HostSpecies	SampleContext	Infection	Observed_Genera	Chao1_Genus	Shannon_Genus	Simpson_Genus	InvSimpson_Genus	Pielou_Genus	SequencingDepth
SRR7146601	Duck	Duck	Wild	Pos	17	20	0.905248242687083	0.38406544	1.62354909911209	0.319512910874219	5000
SRR7146602	Duck	Duck	Wild	Pos	11	11.3333333333333	0.753397801421762	0.443478	1.79687415771524	0.314191286820687	5000
SRR7146603	Duck	Duck	Wild	Neg	23	23	1.17833724513038	0.539976	2.1737996278455	0.375805906177123	5000
SRR7146604	Duck	Duck	Wild	Neg	26	26.5	1.68856156520049	0.747079892705518	3.95381771222987	0.518266277716219	4995
SRR7146605	Duck	Duck	Wild	Neg	19	20	0.873934104474594	0.43861584	1.78131139289716	0.296808359982383	5000
SRR7146606	Duck	Duck	Wild	Neg	24	24.5	2.13852917933504	0.82445232	5.69645807908142	0.672905272690396	5000
SRR7146607	Duck	Duck	Wild	Neg	27	27	2.27301363018522	0.8346736	6.04864074945078	0.689662056284019	5000
SRR7146608	Duck	Duck	Wild	Neg	11	11	0.136053241777596	0.0387544	1.04031685554659	0.056738608779532	5000
SRR7146610	Duck	Duck	Wild	Neg	32	32	2.12264288854772	0.78749504	4.70577251467448	0.612465273777205	5000
SRR7146611	Duck	Duck	Wild	Neg	18	18	1.44529457802286	0.69243824	3.25137949529226	0.500037607298952	5000
SRR7146612	Duck	Duck	Wild	Pos	18	18	1.04323424394226	0.4539292	1.83126437084715	0.360934278122621	5000
SRR7146613	Duck	Duck	Wild	Pos	19	19	1.15615603069683	0.49053192	1.96283150850197	0.392657493966519	5000
SRR7146614	Duck	Duck	Wild	Neg	16	17.5	0.580468319412461	0.27551728	1.38029517115329	0.209359691452377	5000
SRR7146615	Duck	Duck	Wild	Neg	20	20	2.22525182809465	0.83505544	6.06264310869058	0.742807308830278	5000
SRR7146616	Duck	Duck	Wild	Pos	27	27.25	1.79643999384534	0.743209974261306	3.89423225112951	0.545063383559767	4999
SRR7146617	Duck	Duck	Wild	Pos	30	30	2.17397176158348	0.797913709017634	4.94838118478439	0.639178359158052	4935
SRR7146618	Duck	Duck	Wild	Pos	22	22	2.25283957146854	0.844604526516253	6.43519388037125	0.728828414834905	4982
SRR7146619	Duck	Duck	Wild	Pos	20	20	1.89297319979472	0.79599064	4.901735881138	0.631889977787965	5000
SRR7146620	Duck	Duck	Wild	Pos	22	22	1.68511277268539	0.69974368	3.33048776458727	0.54516002226193	5000
SRR7146622	Duck	Duck	Wild	Pos	26	26	0.904177704072357	0.333887201399447	1.50124723935783	0.277517161790863	4981
SRR7146623	Duck	Duck	Wild	Pos	24	24.3333333333333	1.9133620342073	0.76710392	4.29376054762279	0.602054633542132	5000
SRR7146624	Duck	Duck	Wild	Pos	21	21	1.06407702823623	0.44992664	1.81793933812755	0.349505398630566	5000
SRR7146625	Duck	Duck	Wild	Pos	27	27	1.76714614833515	0.703186116383328	3.36911463781619	0.536175247799061	4998
SRR7146626	Duck	Duck	Wild	Pos	20	20	1.75296449194816	0.752293140234441	4.03702990279092	0.585153922940024	4994
SRR7146627	Duck	Duck	Wild	Neg	21	21	1.35402152690487	0.519064287271005	2.07927998177897	0.444740202971654	4871
SRR7146628	Duck	Duck	Wild	Pos	26	26.3333333333333	2.39121708300616	0.88216456	8.48641121889985	0.733930703127125	5000
SRR7146629	Duck	Duck	Wild	Neg	28	30	0.750194159869178	0.30830072	1.44571496445681	0.225134489068239	5000
SRR7146630	Duck	Duck	Wild	Neg	16	16	1.31226150586362	0.5887816	2.43179779893118	0.473298291714731	5000
SRR7146631	Duck	Duck	Wild	Pos	30	30	2.218643996297	0.834891048280655	6.05660680167006	0.652312626211877	4968
SRR7146632	Duck	Duck	Wild	Neg	25	25	2.14900273886391	0.83072664	5.90760412624881	0.667625238060218	5000
SRR7146633	Duck	Duck	Wild	Pos	26	26	1.89012112030532	0.79333688	4.83879271734599	0.580130483626835	5000
SRR7146635	Duck	Duck	Wild	Neg	31	31	2.11268588692458	0.75514752	4.08409177640349	0.615228235028131	5000
SRR7146636	Duck	Duck	Wild	Neg	31	31	1.99634769903207	0.78573096	4.66702982381402	0.581349778014499	5000
SRR7146637	Duck	Duck	Wild	Pos	36	36	2.26859895082547	0.837731919693706	6.16264146412788	0.633064590919352	4974
SRR7146638	Duck	Duck	Wild	Pos	30	30	2.07324571269774	0.80885912	5.23174320427948	0.609563480166078	5000
SRR7146639	Duck	Duck	Wild	Pos	32	32	1.38587347684018	0.54083872	2.17788398882414	0.399878558467374	5000
SRR7146640	Duck	Duck	Wild	Pos	28	28	1.58749507927341	0.61337416	2.58647999316342	0.476409858526342	5000
SRR7146641	Duck	Duck	Wild	Neg	25	25	1.83197678678062	0.69923992	3.32490934302185	0.569135588464534	5000
SRR7146642	Duck	Duck	Wild	Pos	17	17	1.94411393208489	0.80326768	5.08304888591768	0.686186917820161	5000
SRR7146643	Duck	Duck	Wild	Neg	22	22	1.99679722671371	0.8159428	5.43309362524259	0.645994759646299	5000
SRR7146644	Duck	Duck	Wild	Pos	30	33	1.54539246872305	0.657809280752224	2.92234693622977	0.454367181703468	4995
SRR7146645	Duck	Duck	Wild	Neg	23	23	2.40151161000609	0.87302384	7.87549410850037	0.765911669619981	5000
SRR7146646	Duck	Duck	Wild	Neg	21	21	1.36136767784575	0.63849968	2.76624928022194	0.447153110444385	5000
SRR7146648	Duck	Duck	Wild	Pos	27	27.25	1.65226351514957	0.660310273810351	2.94386295169168	0.501318354737828	4994
SRR7146649	Duck	Duck	Wild	Neg	28	28.5	1.20088574263746	0.43326888	1.76450518545726	0.360387767008428	5000
SRR7146650	Duck	Duck	Wild	Neg	31	31	1.47055175089944	0.54459928	2.19586828936063	0.428234487588872	5000
SRR7146651	Duck	Duck	Wild	Pos	24	24.3333333333333	1.24331890587084	0.548413263368817	2.21441401813515	0.391220215969317	4999
SRR7146653	Duck	Duck	Wild	Pos	33	33.5	1.37959464174647	0.4812016	1.92753100240864	0.394563608827961	5000
SRR7146654	Duck	Duck	Wild	Neg	31	31.6	1.32687584912099	0.58549128	2.41249448262512	0.386395105779064	5000
SRR7146655	Duck	Duck	Wild	Neg	22	22	2.16834440785531	0.84027104	6.26060546565883	0.701492923689701	5000
SRR7146656	Duck	Duck	Wild	Neg	30	30	1.93593724505418	0.73809184	3.818132279651	0.569192854108364	5000
SRR7146657	Duck	Duck	Wild	Pos	31	34	1.69879090411843	0.7308808	3.71582555239463	0.494699252781032	5000
SRR7146658	Duck	Duck	Wild	Pos	26	26	1.48695637841848	0.63796424	2.76215808073766	0.456388066180953	5000
SRR7146659	Duck	Duck	Wild	Pos	31	31	1.97513500117406	0.741959532067017	3.87536113234655	0.575172498777611	4988
